Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,33,35,35,11,38,32,26,21,22,21,18,11,8,4,3,3,1
Fungal infection,24,27,18,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Fungal infection,33,27,18,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Fungal infection,33,35,18,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Fungal infection,33,35,35,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Fungal infection,24,27,18,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Fungal infection,33,27,18,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Fungal infection,33,35,18,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Fungal infection,33,35,35,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Fungal infection,33,35,35,11,38,32,26,21,22,21,18,11,8,4,3,3,1
Allergy,8,33,11,45,38,32,26,21,22,21,18,11,8,4,3,3,1
Allergy,23,9,50,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Allergy,8,9,50,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Allergy,8,33,50,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Allergy,8,33,11,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Allergy,23,9,50,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Allergy,8,9,50,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Allergy,8,33,50,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Allergy,8,33,11,50,38,32,26,21,22,21,18,11,8,4,3,3,1
Allergy,8,33,11,45,38,32,26,21,22,21,18,11,8,4,3,3,1
GERD,26,1,48,44,4,3,26,21,22,21,18,11,8,4,3,3,1
GERD,26,41,49,8,3,32,26,21,22,21,18,11,8,4,3,3,1
GERD,26,1,49,8,3,32,26,21,22,21,18,11,8,4,3,3,1
GERD,26,1,48,8,3,32,26,21,22,21,18,11,8,4,3,3,1
GERD,26,1,48,44,3,32,26,21,22,21,18,11,8,4,3,3,1
GERD,26,1,48,44,4,32,26,21,22,21,18,11,8,4,3,3,1
GERD,0,41,49,8,3,32,26,21,22,21,18,11,8,4,3,3,1
GERD,26,41,49,8,3,32,26,21,22,21,18,11,8,4,3,3,1
GERD,26,1,49,8,3,32,26,21,22,21,18,11,8,4,3,3,1
GERD,26,1,48,8,3,32,26,21,22,21,18,11,8,4,3,3,1
Chronic cholestasis,33,42,53,29,21,0,25,21,22,21,18,11,8,4,3,3,1
